"Data Source","World Development Indicators","","","","","","","","","",""

"Country Name","Country Code","Indicator Name","Indicator Code","2010","2011","2012","2013","2014","2015","2016","2017"
"Kuwait","KWT","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","62.74398","62.82541","64.07091","62.61131","55.6239","65.40608","60.84385","60.74516"
"Latin America & Caribbean (excluding high income)","LAC","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","21.06194","21.49007","20.44854","19.78341","18.38048","17.72143","16.67816","16.68087"
"Lao PDR","LAO","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","31.732","29.66966","30.29742","30.25949","28.39017","26.13949","25.80102","25.10954"
"Lebanon","LBN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","30.89213","30.06911","30.10805","30.5881","30.44457","31.2293","30.17187","30.62111"
"Liberia","LBR","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","15.2492","16.14705","16.28821","15.38286","14.94227","18.2128","17.88678","17.98411"
"Libya","LBY","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","50.14723","44.63173","44.91136","49.27948","47.50123","51.53264","52.12921","54.25468"
"St. Lucia","LCA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","27.63597","28.07866","26.36748","25.4448","24.2363","24.28324","22.3534","22.40082"
"Latin America & Caribbean","LCN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","21.05366","21.5091","20.4406","19.76988","18.39179","17.75361","16.6998","16.70843"
"Least developed countries: UN classification","LDC","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","46.02956","46.40986","46.57399","44.79335","44.42166","47.02634","44.92643","45.27822"
"Low income","LIC","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","39.92263","40.89373","41.1146","40.10659","39.06916","43.81605","42.53414","42.85612"
"Liechtenstein","LIE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","",""
"Sri Lanka","LKA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","31.03378","31.23207","30.08397","28.89823","26.92278","25.33734","14.02545","11.09962"
"Lower middle income","LMC","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","71.01803","71.50262","66.72721","67.56119","66.15828","68.2868","67.33328","67.80485"
